"Date","rGoog","rM_ex","rSmB","rHmL","rf"
2016-07-01,0.110807693482712,0.0395,0.0251,-0.0129,2e-04
2016-08-01,-0.00226328392641983,0.005,0.0117,0.0311,2e-04
2016-09-01,0.0133498339876124,0.0025,0.0213,-0.0121,2e-04
2016-10-01,0.00932727837126435,-0.0202,-0.0441,0.0412,2e-04
2016-11-01,-0.0337777560648413,0.0486,0.0567,0.0821,1e-04
2016-12-01,0.0181784990237019,0.0182,9e-04,0.036,3e-04
2017-01-01,0.0323520649549578,0.0194,-0.0113,-0.0274,4e-04
2017-02-01,0.0331581027993302,0.0357,-0.0204,-0.0167,4e-04
2017-03-01,0.00771367674141366,0.0017,0.0113,-0.0333,3e-04
2017-04-01,0.0920970444382494,0.0109,0.0072,-0.0213,5e-04
2017-05-01,0.0650138654793755,0.0106,-0.0252,-0.0375,6e-04
2017-06-01,-0.0581742489818355,0.0078,0.0223,0.0149,6e-04
2017-07-01,0.0239565332707523,0.0187,-0.0146,-0.0022,7e-04
2017-08-01,0.00948954003224078,0.0016,-0.0165,-0.0207,9e-04
2017-09-01,0.0210575278571132,0.0251,0.0445,0.0309,9e-04
2017-10-01,0.0599827245047395,0.0225,-0.0193,0.0022,9e-04
2017-11-01,0.00469188496382378,0.0312,-0.0056,-5e-04,8e-04
2017-12-01,0.0244662296830735,0.0106,-0.0132,3e-04,9e-04
2018-01-01,0.118061844578092,0.0558,-0.0318,-0.0136,0.0011
2018-02-01,-0.0557378705647592,-0.0365,0.0026,-0.0103,0.0011
2018-03-01,-0.0660251304124109,-0.0235,0.0406,-0.0023,0.0012
2018-04-01,-0.0140145004830774,0.0029,0.011,0.0048,0.0014
2018-05-01,0.0665073986507567,0.0265,0.0531,-0.0313,0.0014
2018-06-01,0.0282583565586627,0.0048,0.0113,-0.0233,0.0014
2018-07-01,0.0910769361485713,0.0319,-0.0225,0.0045,0.0016
2018-08-01,0.000763954284508372,0.0344,0.0114,-0.0398,0.0016
2018-09-01,-0.0202923773772977,6e-04,-0.023,-0.017,0.0015
2018-10-01,-0.0977820589002486,-0.0768,-0.0482,0.0343,0.0019
2018-11-01,0.0164009339710256,0.0169,-0.0068,0.0026,0.0018
2018-12-01,-0.0537449321544307,-0.0955,-0.0242,-0.019,0.0019
2019-01-01,0.0779830352833069,0.0841,0.029,-0.0044,0.0021
2019-02-01,0.00317999320646378,0.034,0.0204,-0.0268,0.0018
2019-03-01,0.0476730595956723,0.011,-0.0298,-0.0405,0.0019
2019-04-01,0.0129291664071554,0.0396,-0.0174,0.0217,0.0021
2019-05-01,-0.0713936931440781,-0.0694,-0.0134,-0.0237,0.0021
2019-06-01,-0.0205865832725344,0.0693,0.0025,-0.0071,0.0018
2019-07-01,0.125607141879858,0.0119,-0.0194,0.0042,0.0019
2019-08-01,-0.0234902165988824,-0.0258,-0.0232,-0.0495,0.0016
2019-09-01,0.0260079325176252,0.0143,-0.0097,0.0683,0.0018
2019-10-01,0.0337243519278096,0.0206,0.0028,-0.0193,0.0015
2019-11-01,0.0355921122234422,0.0387,0.008,-0.0202,0.0012
2019-12-01,0.0245678487908794,0.0277,0.0072,0.0179,0.0014
2020-01-01,0.0727064356149283,-0.0011,-0.0313,-0.0624,0.0013
2020-02-01,-0.0661679265692103,-0.0813,0.0103,-0.0379,0.0012
2020-03-01,-0.131797169330244,-0.1338,-0.0489,-0.1402,0.0012
2020-04-01,0.159828317240245,0.1365,0.0247,-0.0118,0
2020-05-01,0.0595109278666441,0.0558,0.0245,-0.048,1e-04
2020-06-01,-0.010714426649893,0.0246,0.0269,-0.0204,1e-04
2020-07-01,0.0490587762790879,0.0577,-0.0228,-0.0153,1e-04
2020-08-01,0.101971797605397,0.0763,-0.0026,-0.0292,1e-04
2020-09-01,-0.100711104383605,-0.0363,2e-04,-0.0262,1e-04
2020-10-01,0.103028059657508,-0.021,0.0441,0.0416,1e-04
2020-11-01,0.0861993319831504,0.1247,0.0565,0.0213,1e-04
2020-12-01,-0.00503196670168204,0.0463,0.0482,-0.0143,1e-04
2021-01-01,0.047868566774355,-3e-04,0.0712,0.0299,0
2021-02-01,0.109557996282469,0.0278,0.0203,0.0718,0
2021-03-01,0.0155974874237612,0.0308,-0.0241,0.0741,0
2021-04-01,0.165080392972357,0.0493,-0.0311,-0.0093,0
2021-05-01,0.000597456529175977,0.0029,-0.0028,0.0704,0
2021-06-01,0.0392940696817206,0.0279,0.018,-0.0776,0
2021-07-01,0.0790401260115514,0.0119,-0.0396,-0.0175,0
2021-08-01,0.0757353051328395,0.0291,-0.0045,-7e-04,0
