Date,Open,High,Low,Close,Volume,Adjusted
2021-06-29,29291.890625,29291.890625,28924.609375,28994.099609,2356507100,28994.099609
2021-06-30,29107.900391,29146.279297,28827.699219,28827.949219,2051503700,28827.949219
2021-07-02,28859.019531,28859.019531,28231.730469,28310.419922,2816172700,28310.419922
2021-07-05,28098.910156,28338.789063,28042.710938,28143.5,1827212600,28143.5
2021-07-06,28136.630859,28151.349609,27904.529297,28072.859375,1904176200,28072.859375
2021-07-07,27777.810547,27969.410156,27703.410156,27960.619141,2040702300,27960.619141
2021-07-08,27881.5,27921.060547,27110.619141,27153.130859,2948605700,27153.130859
2021-07-09,27131.570313,27450.789063,26861.869141,27344.539063,2499976900,27344.539063
2021-07-12,27672.699219,27741.189453,27420.349609,27515.240234,2054164700,27515.240234
2021-07-13,27694.029297,28052.320313,27612.689453,27963.410156,1995588400,27963.410156
2021-07-14,27965.390625,27965.390625,27708.710938,27787.460938,1865663700,27787.460938
2021-07-15,27801.400391,28181.210938,27741.089844,27996.269531,2081493200,27996.269531
2021-07-16,27972.560547,28218.529297,27878.529297,28004.679688,1968819100,28004.679688
2021-07-19,27786.539063,27786.539063,27397.289063,27489.779297,1874176200,27489.779297
2021-07-20,27395.830078,27532.859375,27121.490234,27259.25,2263380800,27259.25
2021-07-21,27339.220703,27371.5,26971.029297,27224.580078,1672533000,27224.580078
2021-07-22,27464.279297,27759.710938,27455.429688,27723.839844,1807199700,27723.839844
2021-07-23,27740.949219,27740.949219,27222.039063,27321.980469,1182745200,27321.980469
2021-07-26,26825.730469,26878.75,26177.400391,26192.320313,2695215700,26192.320313
2021-07-27,26011.509766,26323.609375,24748.839844,25086.429688,4657383800,25086.429688
2021-07-28,25356.740234,25520.75,24848.429688,25473.880859,3391837700,25473.880859
2021-07-29,26221.359375,26335.359375,25857.419922,26315.320313,3272154400,26315.320313
2021-07-30,26042.839844,26151,25636.890625,25961.029297,2425058800,25961.029297
2021-08-02,26054.810547,26300.550781,25743.089844,26235.800781,1768640300,26235.800781
2021-08-03,26289.060547,26289.060547,25774.619141,26194.820313,2010033900,26194.820313
2021-08-04,26161.830078,26650.820313,26009.830078,26426.550781,1776527400,26426.550781
2021-08-05,26390.009766,26569.369141,26126.369141,26204.689453,1695648000,26204.689453
2021-08-06,26262.970703,26276.869141,26002.410156,26179.400391,1559626600,26179.400391
2021-08-09,25969.230469,26527.240234,25920.849609,26283.400391,1585113300,26283.400391
2021-08-10,26456.609375,26610.949219,26138.869141,26605.619141,1735296200,26605.619141
2021-08-11,26491.740234,26822.470703,26454.449219,26660.160156,2414411900,26660.160156
2021-08-12,26623.769531,26713.240234,26385.449219,26517.820313,1655017900,26517.820313
2021-08-13,26296.189453,26521.949219,26200.240234,26391.619141,1336188100,26391.619141
2021-08-16,26365.189453,26449.710938,26046.900391,26181.460938,1648288100,26181.460938
2021-08-17,26137.900391,26258.789063,25615.380859,25745.869141,2291305400,25745.869141
2021-08-18,25800.029297,26025.140625,25708.949219,25867.009766,1756860900,25867.009766
2021-08-19,25787.839844,25832.919922,25183.669922,25316.330078,2312886900,25316.330078
2021-08-20,25241.320313,25244.75,24581.599609,24849.720703,2855825700,24849.720703
2021-08-23,25169.449219,25458.330078,25036.990234,25109.589844,2184980400,25109.589844
2021-08-24,25428.679688,25727.919922,25361.75,25727.919922,2052904800,25727.919922
2021-08-25,25930.050781,25982.640625,25548.470703,25693.949219,1716375300,25693.949219
2021-08-26,25673.779297,25706.619141,25255.830078,25415.689453,1834106600,25415.689453
2021-08-27,25337.550781,25641.330078,25304.619141,25407.890625,1528046000,25407.890625
2021-08-30,25406.490234,25583.589844,25219.800781,25539.539063,1995641000,25539.539063
2021-08-31,25524.230469,25878.990234,25110.720703,25878.990234,2918149900,25878.990234
2021-09-01,25871.820313,26101.949219,25694.109375,26028.289063,2181283600,26028.289063
2021-09-02,26203.519531,26359.310547,25967.980469,26090.429688,2024344100,26090.429688
2021-09-03,26022.669922,26052.810547,25811.769531,25901.990234,2549365400,25901.990234
2021-09-06,25827.169922,26176.429688,25827.169922,26163.630859,1912471300,26163.630859
2021-09-07,26207.220703,26458.880859,26135.400391,26353.630859,1842232900,26353.630859
2021-09-08,26396.109375,26560.039063,26164.789063,26320.929688,1861322900,26320.929688
